id,aldi_score,Algeria,Bahrain,Egypt,Iraq,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,Palestine,Qatar,Saudi_Arabia,Sudan,Syria,Tunisia,UAE,Yemen,train_id,nadi_source
0,0.8871747255325317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRAIN_1,NADI2020
1,0.6330817937850952,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRAIN_2,NADI2020
2,0.6184045672416687,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,TRAIN_3,NADI2020
3,0.0057925842702388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRAIN_4,NADI2020
4,0.8808045983314514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRAIN_5,NADI2020
5,0.537240207195282,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,TRAIN_6,NADI2020
6,0.9529957175254822,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRAIN_7,NADI2020
7,0.4761127233505249,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRAIN_8,NADI2020
8,0.953214704990387,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,TRAIN_9,NADI2020
9,0.6893618702888489,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,TRAIN_11,NADI2020
10,0.0077502904459834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRAIN_12,NADI2020
11,0.8818032145500183,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRAIN_13,NADI2020
12,0.97846919298172,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRAIN_14,NADI2020
13,0.9758496880531312,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRAIN_15,NADI2020
14,0.3314642608165741,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,TRAIN_16,NADI2020
15,0.9227932691574096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRAIN_17,NADI2020
16,0.1170584261417388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRAIN_18,NADI2020
17,0.8056026697158813,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,TRAIN_20,NADI2020
18,0.0032724561169743,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRAIN_21,NADI2020
19,0.014721967279911,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,TRAIN_22,NADI2020
